event_definition,variable_name,coding_system,event_code,tags,code_no_dot
Diabetes types 1 and 2,E_DM12_COV,RCD,C10y1,exclude,C10y1
Diabetes types 1 and 2,E_DM12_COV,RCD,C10yy,exclude,C10yy
Diabetes types 1 and 2,E_DM12_COV,RCD,G73y0,exclude,G73y0
Diabetes types 1 and 2,E_DM12_COV,RCD,X00Ag,exclude,X00Ag
Diabetes types 1 and 2,E_DM12_COV,RCD,X40J4,narrow,X40J4
Diabetes types 1 and 2,E_DM12_COV,RCD,X40J5,exclude,X40J5
Diabetes types 1 and 2,E_DM12_COV,RCD,X40JY,narrow,X40JY
Diabetes types 1 and 2,E_DM12_COV,RCD,XE10I,exclude,XE10I
Diabetes types 1 and 2,E_DM12_COV,RCD2,C10..,exclude,C10
Diabetes types 1 and 2,E_DM12_COV,RCD2,C1070,narrow,C1070
Diabetes types 1 and 2,E_DM12_COV,RCD2,C1073,narrow,C1073
Diabetes types 1 and 2,E_DM12_COV,RCD2,C10y0,exclude,C10y0
Diabetes types 1 and 2,E_DM12_COV,RCD2,C10y1,exclude,C10y1
Diabetes types 1 and 2,E_DM12_COV,RCD2,C10yy,exclude,C10yy
Diabetes types 1 and 2,E_DM12_COV,RCD2,C108.,narrow,C108
Diabetes types 1 and 2,E_DM12_COV,RCD2,C10E.,narrow,C10E
Diabetes types 1 and 2,E_DM12_COV,RCD2,F372.,exclude,F372
Diabetes types 1 and 2,E_DM12_COV,RCD2,G73y0,exclude,G73y0
Hypertension,V_HYPERTENSION_COV,ICD10,I11,narrow,I11
Hypertension,V_HYPERTENSION_COV,ICD10,I12,narrow,I12
Hypertension,V_HYPERTENSION_COV,ICD10,I13,narrow,I13
Hypertension,V_HYPERTENSION_COV,ICD10,I15,narrow,I15
Hypertension,V_HYPERTENSION_COV,ICD10,O10,narrow,O10
Hypertension,V_HYPERTENSION_COV,ICD10,O14,narrow,O14
Hypertension,V_HYPERTENSION_COV,ICD10,O15,narrow,O15
Hypertension,V_HYPERTENSION_COV,ICD10,I10,narrow,I10
Hypertension,V_HYPERTENSION_COV,ICD10,O11,narrow,O11
Hypertension,V_HYPERTENSION_COV,ICD10,O13,narrow,O13
Hypertension,V_HYPERTENSION_COV,ICD10,O16,narrow,O16
Hypertension,V_HYPERTENSION_COV,ICD10,I67.4,narrow,I674
Hypertension,V_HYPERTENSION_COV,ICD10CM,I11,narrow,I11
Hypertension,V_HYPERTENSION_COV,ICD10CM,I12,narrow,I12
Hypertension,V_HYPERTENSION_COV,ICD10CM,I13,narrow,I13
Hypertension,V_HYPERTENSION_COV,ICD10CM,I15,narrow,I15
Hypertension,V_HYPERTENSION_COV,ICD10CM,O10,narrow,O10
Hypertension,V_HYPERTENSION_COV,ICD10CM,O11,narrow,O11
Hypertension,V_HYPERTENSION_COV,ICD10CM,O13,narrow,O13
Hypertension,V_HYPERTENSION_COV,ICD10CM,O14,narrow,O14
Hypertension,V_HYPERTENSION_COV,ICD10CM,O15,narrow,O15
Hypertension,V_HYPERTENSION_COV,ICD10CM,O16,narrow,O16
Hypertension,V_HYPERTENSION_COV,ICD10CM,H35.03,narrow,H3503
Hypertension,V_HYPERTENSION_COV,ICD10CM,I10,narrow,I10
Hypertension,V_HYPERTENSION_COV,ICD10CM,I67.4,narrow,I674
Hypertension,V_HYPERTENSION_COV,ICD10DA,I10,narrow,I10
Hypertension,V_HYPERTENSION_COV,ICD10DA,I11,narrow,I11
Hypertension,V_HYPERTENSION_COV,ICD10DA,I12,narrow,I12
Hypertension,V_HYPERTENSION_COV,ICD10DA,I13,narrow,I13
Hypertension,V_HYPERTENSION_COV,ICD10DA,I15,narrow,I15
Hypertension,V_HYPERTENSION_COV,ICD10DA,O10,narrow,O10
Hypertension,V_HYPERTENSION_COV,ICD10DA,O11,narrow,O11
Hypertension,V_HYPERTENSION_COV,ICD10DA,O13,narrow,O13
Hypertension,V_HYPERTENSION_COV,ICD10DA,O14,narrow,O14
Hypertension,V_HYPERTENSION_COV,ICD10DA,O16,narrow,O16
Hypertension,V_HYPERTENSION_COV,ICD10DA,I67.4,narrow,I674
Hypertension,V_HYPERTENSION_COV,ICD10DA,O15.0,narrow,O150
Hypertension,V_HYPERTENSION_COV,ICD10DA,O15.1,narrow,O151
Hypertension,V_HYPERTENSION_COV,ICD10DA,O15.2,narrow,O152
Hypertension,V_HYPERTENSION_COV,ICD10DA,O15.9,narrow,O159
Hypertension,V_HYPERTENSION_COV,ICD10DA,P29.2,narrow,P292
Hypertension,V_HYPERTENSION_COV,ICD10DA,H35.0H,narrow,H350H
Hypertension,V_HYPERTENSION_COV,ICD9CM,401,narrow,401
Hypertension,V_HYPERTENSION_COV,ICD9CM,402,narrow,402
Hypertension,V_HYPERTENSION_COV,ICD9CM,403,narrow,403
Hypertension,V_HYPERTENSION_COV,ICD9CM,404,narrow,404
Hypertension,V_HYPERTENSION_COV,ICD9CM,405,narrow,405
Hypertension,V_HYPERTENSION_COV,ICD9CM,642,narrow,642
Hypertension,V_HYPERTENSION_COV,ICD9CM,437.2,narrow,4372
Hypertension,V_HYPERTENSION_COV,ICD9CM,362.11,narrow,36211
Hypertension,V_HYPERTENSION_COV,ICPC,K86,narrow,K86
Hypertension,V_HYPERTENSION_COV,ICPC,K87,narrow,K87
Hypertension,V_HYPERTENSION_COV,ICPC2P,D97009,narrow,D97009
Hypertension,V_HYPERTENSION_COV,ICPC2P,F83003,narrow,F83003
Hypertension,V_HYPERTENSION_COV,ICPC2P,K86001,narrow,K86001
Hypertension,V_HYPERTENSION_COV,ICPC2P,K86002,narrow,K86002
Hypertension,V_HYPERTENSION_COV,ICPC2P,K86003,narrow,K86003
Hypertension,V_HYPERTENSION_COV,ICPC2P,K87001,narrow,K87001
Hypertension,V_HYPERTENSION_COV,ICPC2P,K87002,narrow,K87002
Hypertension,V_HYPERTENSION_COV,ICPC2P,K87003,narrow,K87003
Hypertension,V_HYPERTENSION_COV,ICPC2P,K87007,narrow,K87007
Hypertension,V_HYPERTENSION_COV,ICPC2P,K87011,narrow,K87011
Hypertension,V_HYPERTENSION_COV,RCD,G21..,narrow,G21
Hypertension,V_HYPERTENSION_COV,RCD,G23..,narrow,G23
Hypertension,V_HYPERTENSION_COV,RCD,G24..,narrow,G24
Hypertension,V_HYPERTENSION_COV,RCD,L12..,narrow,L12
Hypertension,V_HYPERTENSION_COV,RCD,L1230,narrow,L1230
Hypertension,V_HYPERTENSION_COV,RCD,L123z,narrow,L123z
Hypertension,V_HYPERTENSION_COV,RCD,G201.,narrow,G201
Hypertension,V_HYPERTENSION_COV,RCD,G222.,narrow,G222
Hypertension,V_HYPERTENSION_COV,RCD,J623.,narrow,J623
Hypertension,V_HYPERTENSION_COV,RCD,F4211,narrow,F4211
Hypertension,V_HYPERTENSION_COV,RCD,Gyu20,narrow,Gyu20
Hypertension,V_HYPERTENSION_COV,RCD,Gyu21,narrow,Gyu21
Hypertension,V_HYPERTENSION_COV,RCD,X2033,narrow,X2033
Hypertension,V_HYPERTENSION_COV,RCD,X40Bx,narrow,X40Bx
Hypertension,V_HYPERTENSION_COV,RCD,XE0Uc,narrow,XE0Uc
Hypertension,V_HYPERTENSION_COV,RCD,XE0Ud,narrow,XE0Ud
Hypertension,V_HYPERTENSION_COV,RCD,XE0Uf,narrow,XE0Uf
Hypertension,V_HYPERTENSION_COV,RCD,XE0Ug,narrow,XE0Ug
Hypertension,V_HYPERTENSION_COV,RCD,XE0VM,narrow,XE0VM
Hypertension,V_HYPERTENSION_COV,RCD,Xa0kX,narrow,Xa0kX
Hypertension,V_HYPERTENSION_COV,RCD2,G21..,narrow,G21
Hypertension,V_HYPERTENSION_COV,RCD2,G23..,narrow,G23
Hypertension,V_HYPERTENSION_COV,RCD2,G24..,narrow,G24
Hypertension,V_HYPERTENSION_COV,RCD2,L12..,narrow,L12
Hypertension,V_HYPERTENSION_COV,RCD2,L1230,narrow,L1230
Hypertension,V_HYPERTENSION_COV,RCD2,L1236,narrow,L1236
