event_definition,variable_name,coding_system,event_code,tags,code_no_dot
Depression,Ment_DEPRESSION_COV,MEDCODEID,294896010,narrow,294896010
Depression,Ment_DEPRESSION_COV,MEDCODEID,294917018,narrow,294917018
Depression,Ment_DEPRESSION_COV,MEDCODEID,294918011,narrow,294918011
Depression,Ment_DEPRESSION_COV,MEDCODEID,295494011,narrow,295494011
Depression,Ment_DEPRESSION_COV,MEDCODEID,295535012,narrow,295535012
Depression,Ment_DEPRESSION_COV,MEDCODEID,295536013,narrow,295536013
Depression,Ment_DEPRESSION_COV,MEDCODEID,295537016,narrow,295537016
Depression,Ment_DEPRESSION_COV,MEDCODEID,2957311000006113,narrow,2957311000006113
Depression,Ment_DEPRESSION_COV,MEDCODEID,296137015,narrow,296137015
Depression,Ment_DEPRESSION_COV,MEDCODEID,296138013,narrow,296138013
Depression,Ment_DEPRESSION_COV,MEDCODEID,296180012,narrow,296180012
Depression,Ment_DEPRESSION_COV,MEDCODEID,296181011,narrow,296181011
Depression,Ment_DEPRESSION_COV,MEDCODEID,296198011,narrow,296198011
Depression,Ment_DEPRESSION_COV,MEDCODEID,296199015,narrow,296199015
Depression,Ment_DEPRESSION_COV,MEDCODEID,296207019,narrow,296207019
Depression,Ment_DEPRESSION_COV,MEDCODEID,296208012,narrow,296208012
Depression,Ment_DEPRESSION_COV,MEDCODEID,296209016,narrow,296209016
Depression,Ment_DEPRESSION_COV,MEDCODEID,296218019,narrow,296218019
Depression,Ment_DEPRESSION_COV,MEDCODEID,300711000000119,narrow,300711000000119
Depression,Ment_DEPRESSION_COV,MEDCODEID,3033261000006113,narrow,3033261000006113
Depression,Ment_DEPRESSION_COV,MEDCODEID,307111000000119,narrow,307111000000119
Depression,Ment_DEPRESSION_COV,MEDCODEID,3071791000006111,narrow,3071791000006111
Depression,Ment_DEPRESSION_COV,MEDCODEID,3087971000006112,narrow,3087971000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,3094951000006111,narrow,3094951000006111
Depression,Ment_DEPRESSION_COV,MEDCODEID,3149661000006117,narrow,3149661000006117
Depression,Ment_DEPRESSION_COV,MEDCODEID,3153071000006116,narrow,3153071000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,3190221000006112,narrow,3190221000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,3286331000006115,narrow,3286331000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,345141000006111,narrow,345141000006111
Depression,Ment_DEPRESSION_COV,MEDCODEID,346972018,narrow,346972018
Depression,Ment_DEPRESSION_COV,MEDCODEID,346973011,narrow,346973011
Depression,Ment_DEPRESSION_COV,MEDCODEID,3531371000006112,narrow,3531371000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,3578851000006118,narrow,3578851000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,3578861000006116,narrow,3578861000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,359121000006116,narrow,359121000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,3606411000006115,narrow,3606411000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,3628471000006116,narrow,3628471000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,366561000006119,narrow,366561000006119
Depression,Ment_DEPRESSION_COV,MEDCODEID,367061000006114,narrow,367061000006114
Depression,Ment_DEPRESSION_COV,MEDCODEID,369982012,narrow,369982012
Depression,Ment_DEPRESSION_COV,MEDCODEID,3700911000006115,narrow,3700911000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,3733211000006112,narrow,3733211000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,3743451000006110,narrow,3743451000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,376691000006116,narrow,376691000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,376701000006116,narrow,376701000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,376711000006118,narrow,376711000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,376721000006114,narrow,376721000006114
Depression,Ment_DEPRESSION_COV,MEDCODEID,376741000006119,narrow,376741000006119
Depression,Ment_DEPRESSION_COV,MEDCODEID,376751000006117,narrow,376751000006117
Depression,Ment_DEPRESSION_COV,MEDCODEID,3767531000006119,narrow,3767531000006119
Depression,Ment_DEPRESSION_COV,MEDCODEID,379771000006116,narrow,379771000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,379781000006118,narrow,379781000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,396071000006119,narrow,396071000006119
Depression,Ment_DEPRESSION_COV,MEDCODEID,396081000006116,narrow,396081000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,396771000006117,narrow,396771000006117
Depression,Ment_DEPRESSION_COV,MEDCODEID,396791000006116,narrow,396791000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,396801000006115,narrow,396801000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,398351000006110,narrow,398351000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,398561000006117,narrow,398561000006117
Depression,Ment_DEPRESSION_COV,MEDCODEID,398841000006119,narrow,398841000006119
Depression,Ment_DEPRESSION_COV,MEDCODEID,399961000006118,narrow,399961000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,401766011,narrow,401766011
Depression,Ment_DEPRESSION_COV,MEDCODEID,401866015,narrow,401866015
Depression,Ment_DEPRESSION_COV,MEDCODEID,401869010,narrow,401869010
Depression,Ment_DEPRESSION_COV,MEDCODEID,401871010,narrow,401871010
Depression,Ment_DEPRESSION_COV,MEDCODEID,401872015,narrow,401872015
Depression,Ment_DEPRESSION_COV,MEDCODEID,401873013,narrow,401873013
Depression,Ment_DEPRESSION_COV,MEDCODEID,401876017,narrow,401876017
Depression,Ment_DEPRESSION_COV,MEDCODEID,401877014,narrow,401877014
Depression,Ment_DEPRESSION_COV,MEDCODEID,401878016,narrow,401878016
Depression,Ment_DEPRESSION_COV,MEDCODEID,401879012,narrow,401879012
Depression,Ment_DEPRESSION_COV,MEDCODEID,404011000006112,narrow,404011000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,406881000000111,narrow,406881000000111
Depression,Ment_DEPRESSION_COV,MEDCODEID,408521000000112,narrow,408521000000112
Depression,Ment_DEPRESSION_COV,MEDCODEID,408541000000117,narrow,408541000000117
Depression,Ment_DEPRESSION_COV,MEDCODEID,408561000000116,narrow,408561000000116
Depression,Ment_DEPRESSION_COV,MEDCODEID,408581000000113,narrow,408581000000113
Depression,Ment_DEPRESSION_COV,MEDCODEID,408601000000116,narrow,408601000000116
Depression,Ment_DEPRESSION_COV,MEDCODEID,410861011,narrow,410861011
Depression,Ment_DEPRESSION_COV,MEDCODEID,419841000006116,narrow,419841000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,423041000006119,narrow,423041000006119
Depression,Ment_DEPRESSION_COV,MEDCODEID,423131000006113,narrow,423131000006113
Depression,Ment_DEPRESSION_COV,MEDCODEID,423141000006115,narrow,423141000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,423611000006111,narrow,423611000006111
Depression,Ment_DEPRESSION_COV,MEDCODEID,424541000006111,narrow,424541000006111
Depression,Ment_DEPRESSION_COV,MEDCODEID,424551000006113,narrow,424551000006113
Depression,Ment_DEPRESSION_COV,MEDCODEID,424561000006110,narrow,424561000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,424631000006119,narrow,424631000006119
Depression,Ment_DEPRESSION_COV,MEDCODEID,424641000006112,narrow,424641000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,424651000006114,narrow,424651000006114
Depression,Ment_DEPRESSION_COV,MEDCODEID,424671000006116,narrow,424671000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,424681000006118,narrow,424681000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,425411000006110,narrow,425411000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,425501000006113,narrow,425501000006113
Depression,Ment_DEPRESSION_COV,MEDCODEID,425561000006114,narrow,425561000006114
Depression,Ment_DEPRESSION_COV,MEDCODEID,425691000006119,narrow,425691000006119
Depression,Ment_DEPRESSION_COV,MEDCODEID,425751000006115,narrow,425751000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,426891000006114,narrow,426891000006114
Depression,Ment_DEPRESSION_COV,MEDCODEID,426911000006111,narrow,426911000006111
Depression,Ment_DEPRESSION_COV,MEDCODEID,426921000006115,narrow,426921000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,426931000006117,narrow,426931000006117
Depression,Ment_DEPRESSION_COV,MEDCODEID,426941000006110,narrow,426941000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,426951000006112,narrow,426951000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,426961000006114,narrow,426961000006114
Depression,Ment_DEPRESSION_COV,MEDCODEID,426971000006119,narrow,426971000006119
Depression,Ment_DEPRESSION_COV,MEDCODEID,426981000006116,narrow,426981000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,426991000006118,narrow,426991000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,432511000006119,narrow,432511000006119
Depression,Ment_DEPRESSION_COV,MEDCODEID,441826016,narrow,441826016
Depression,Ment_DEPRESSION_COV,MEDCODEID,4539971000006110,narrow,4539971000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,473201000006114,narrow,473201000006114
Depression,Ment_DEPRESSION_COV,MEDCODEID,474171000006112,narrow,474171000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,488211000006112,narrow,488211000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,5023901000006110,narrow,5023901000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,5024071000006118,narrow,5024071000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,5024511000006118,narrow,5024511000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,5106051000006119,narrow,5106051000006119
Depression,Ment_DEPRESSION_COV,MEDCODEID,5106061000006117,narrow,5106061000006117
Depression,Ment_DEPRESSION_COV,MEDCODEID,513751000006117,narrow,513751000006117
Depression,Ment_DEPRESSION_COV,MEDCODEID,5248911000006110,narrow,5248911000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,5248931000006116,narrow,5248931000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,525921000006119,narrow,525921000006119
Depression,Ment_DEPRESSION_COV,MEDCODEID,5359011000006112,narrow,5359011000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,5359021000006116,narrow,5359021000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,6000711000006112,narrow,6000711000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,613781000006118,narrow,613781000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,613791000006115,narrow,613791000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,6337491000006116,narrow,6337491000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,6337501000006112,narrow,6337501000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,642461000006116,narrow,642461000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,675861000006113,narrow,675861000006113
Depression,Ment_DEPRESSION_COV,MEDCODEID,681801000000113,narrow,681801000000113
Depression,Ment_DEPRESSION_COV,MEDCODEID,7127651000006115,narrow,7127651000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,7127661000006118,narrow,7127661000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,7515151000006115,narrow,7515151000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,7739881000006110,narrow,7739881000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,7788661000006119,narrow,7788661000006119
Depression,Ment_DEPRESSION_COV,MEDCODEID,7803711000006118,narrow,7803711000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,7803731000006112,narrow,7803731000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,7849101000006112,narrow,7849101000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,7965191000006118,narrow,7965191000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,7991681000006114,narrow,7991681000006114
Depression,Ment_DEPRESSION_COV,MEDCODEID,8035341000006119,narrow,8035341000006119
Depression,Ment_DEPRESSION_COV,MEDCODEID,8089301000006110,narrow,8089301000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,8089331000006119,narrow,8089331000006119
Depression,Ment_DEPRESSION_COV,MEDCODEID,8100481000006111,narrow,8100481000006111
Depression,Ment_DEPRESSION_COV,MEDCODEID,8214741000006117,narrow,8214741000006117
Depression,Ment_DEPRESSION_COV,MEDCODEID,8232571000006118,narrow,8232571000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,8232591000006117,narrow,8232591000006117
Depression,Ment_DEPRESSION_COV,MEDCODEID,8237831000006115,narrow,8237831000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,8237841000006113,narrow,8237841000006113
Depression,Ment_DEPRESSION_COV,MEDCODEID,8237851000006110,narrow,8237851000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,8245201000006115,narrow,8245201000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,8268161000006111,narrow,8268161000006111
Depression,Ment_DEPRESSION_COV,MEDCODEID,8308801000006112,narrow,8308801000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,8362571000006117,narrow,8362571000006117
Depression,Ment_DEPRESSION_COV,MEDCODEID,8366861000006113,narrow,8366861000006113
Depression,Ment_DEPRESSION_COV,MEDCODEID,8367331000006111,narrow,8367331000006111
Depression,Ment_DEPRESSION_COV,MEDCODEID,8465321000006112,narrow,8465321000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,853871000006111,narrow,853871000006111
Depression,Ment_DEPRESSION_COV,MEDCODEID,882311000006110,narrow,882311000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,882401000006115,narrow,882401000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,882421000006113,narrow,882421000006113
Depression,Ment_DEPRESSION_COV,MEDCODEID,882671000006112,narrow,882671000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,882681000006110,narrow,882681000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,882811000006119,narrow,882811000006119
Depression,Ment_DEPRESSION_COV,MEDCODEID,882821000006110,narrow,882821000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,882831000006113,narrow,882831000006113
Depression,Ment_DEPRESSION_COV,MEDCODEID,908731000006114,narrow,908731000006114
Depression,Ment_DEPRESSION_COV,MEDCODEID,909681000006110,narrow,909681000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,915501000006119,narrow,915501000006119
Depression,Ment_DEPRESSION_COV,MEDCODEID,915511000006116,narrow,915511000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,915521000006112,narrow,915521000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,915531000006110,narrow,915531000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,915541000006117,narrow,915541000006117
Depression,Ment_DEPRESSION_COV,MEDCODEID,915551000006115,narrow,915551000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,915561000006118,narrow,915561000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,915571000006113,narrow,915571000006113
Depression,Ment_DEPRESSION_COV,MEDCODEID,915581000006111,narrow,915581000006111
Depression,Ment_DEPRESSION_COV,MEDCODEID,915591000006114,narrow,915591000006114
Depression,Ment_DEPRESSION_COV,MEDCODEID,915601000006118,narrow,915601000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,915611000006115,narrow,915611000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,9901161000006119,narrow,9901161000006119
Depression,Ment_DEPRESSION_COV,MEDCODEID,9901261000006114,narrow,9901261000006114
Depression,Ment_DEPRESSION_COV,MEDCODEID,9901281000006116,narrow,9901281000006116
Depression,Ment_DEPRESSION_COV,SCTSPA,154963001,narrow,154963001
Depression,Ment_DEPRESSION_COV,SCTSPA,15639000,narrow,15639000
Depression,Ment_DEPRESSION_COV,SCTSPA,18818009,narrow,18818009
Depression,Ment_DEPRESSION_COV,SCTSPA,191495003,narrow,191495003
Depression,Ment_DEPRESSION_COV,SCTSPA,191600009,narrow,191600009
Depression,Ment_DEPRESSION_COV,SCTSPA,191601008,narrow,191601008
Depression,Ment_DEPRESSION_COV,SCTSPA,191602001,narrow,191602001
Depression,Ment_DEPRESSION_COV,SCTSPA,191607007,narrow,191607007
Depression,Ment_DEPRESSION_COV,SCTSPA,191609005,narrow,191609005
Depression,Ment_DEPRESSION_COV,SCTSPA,191610000,narrow,191610000
Depression,Ment_DEPRESSION_COV,SCTSPA,191614009,narrow,191614009
Depression,Ment_DEPRESSION_COV,SCTSPA,191617002,narrow,191617002
Depression,Ment_DEPRESSION_COV,SCTSPA,191659001,narrow,191659001
Depression,Ment_DEPRESSION_COV,SCTSPA,191676002,narrow,191676002
Depression,Ment_DEPRESSION_COV,SCTSPA,192078003,narrow,192078003
Depression,Ment_DEPRESSION_COV,SCTSPA,192367002,narrow,192367002
Depression,Ment_DEPRESSION_COV,SCTSPA,192368007,narrow,192368007
Depression,Ment_DEPRESSION_COV,SCTSPA,192376009,narrow,192376009
Depression,Ment_DEPRESSION_COV,SCTSPA,192379002,narrow,192379002
Depression,Ment_DEPRESSION_COV,SCTSPA,192382007,narrow,192382007
Depression,Ment_DEPRESSION_COV,SCTSPA,192386005,narrow,192386005
Depression,Ment_DEPRESSION_COV,SCTSPA,21061000119107,narrow,21061000119107
Depression,Ment_DEPRESSION_COV,SCTSPA,231500002,narrow,231500002
Depression,Ment_DEPRESSION_COV,SCTSPA,231504006,narrow,231504006
Depression,Ment_DEPRESSION_COV,SCTSPA,231542000,narrow,231542000
Depression,Ment_DEPRESSION_COV,SCTSPA,247803002,narrow,247803002
Depression,Ment_DEPRESSION_COV,SCTSPA,268620009,narrow,268620009
Depression,Ment_DEPRESSION_COV,SCTSPA,268621008,narrow,268621008
Depression,Ment_DEPRESSION_COV,SCTSPA,268702009,narrow,268702009
Depression,Ment_DEPRESSION_COV,SCTSPA,268704005,narrow,268704005
Depression,Ment_DEPRESSION_COV,SCTSPA,268705006,narrow,268705006
Depression,Ment_DEPRESSION_COV,SCTSPA,268706007,narrow,268706007
Depression,Ment_DEPRESSION_COV,SCTSPA,268707003,narrow,268707003
Depression,Ment_DEPRESSION_COV,SCTSPA,268708008,narrow,268708008
Depression,Ment_DEPRESSION_COV,SCTSPA,268709000,narrow,268709000
Depression,Ment_DEPRESSION_COV,SCTSPA,268710005,narrow,268710005
Depression,Ment_DEPRESSION_COV,SCTSPA,268713007,narrow,268713007
Depression,Ment_DEPRESSION_COV,SCTSPA,28475009,narrow,28475009
Depression,Ment_DEPRESSION_COV,SCTSPA,300706003,narrow,300706003
Depression,Ment_DEPRESSION_COV,SCTSPA,307537002,narrow,307537002
Depression,Ment_DEPRESSION_COV,SCTSPA,310465006,narrow,310465006
Depression,Ment_DEPRESSION_COV,SCTSPA,310497006,narrow,310497006
Depression,Ment_DEPRESSION_COV,SCTSPA,33135002,narrow,33135002
Depression,Ment_DEPRESSION_COV,SCTSPA,35489007,narrow,35489007
Depression,Ment_DEPRESSION_COV,SCTSPA,36474008,narrow,36474008
Depression,Ment_DEPRESSION_COV,SCTSPA,36923009,narrow,36923009
Depression,Ment_DEPRESSION_COV,SCTSPA,430852001,narrow,430852001
Depression,Ment_DEPRESSION_COV,SCTSPA,442057004,narrow,442057004
Depression,Ment_DEPRESSION_COV,SCTSPA,46206005,narrow,46206005
Depression,Ment_DEPRESSION_COV,SCTSPA,58703003,narrow,58703003
Depression,Ment_DEPRESSION_COV,SCTSPA,66344007,narrow,66344007
Depression,Ment_DEPRESSION_COV,SCTSPA,68019004,narrow,68019004
Depression,Ment_DEPRESSION_COV,SCTSPA,76441001,narrow,76441001
Depression,Ment_DEPRESSION_COV,SCTSPA,78667006,narrow,78667006
Depression,Ment_DEPRESSION_COV,SCTSPA,79298009,narrow,79298009
Depression,Ment_DEPRESSION_COV,SCTSPA,83458005,narrow,83458005
Depression,Ment_DEPRESSION_COV,SCTSPA,87414006,narrow,87414006
Depression,Ment_DEPRESSION_COV,SCTSPA,94921000119107,narrow,94921000119107
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,147016002,narrow,147016002
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,154872008,narrow,154872008
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,154873003,narrow,154873003
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,154876006,narrow,154876006
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,154889000,narrow,154889000
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,154963001,narrow,154963001
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,154964007,narrow,154964007
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,154967000,narrow,154967000
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,154969002,narrow,154969002
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,15639000,narrow,15639000
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,18818009,narrow,18818009
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,191495003,narrow,191495003
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,191580002,narrow,191580002
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,191599006,narrow,191599006
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,191600009,narrow,191600009
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,191601008,narrow,191601008
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,191602001,narrow,191602001
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,191607007,narrow,191607007
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,191608002,narrow,191608002
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,191609005,narrow,191609005
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,191610000,narrow,191610000
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,191614009,narrow,191614009
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,191617002,narrow,191617002
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,191655007,narrow,191655007
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,191659001,narrow,191659001
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,191665001,narrow,191665001
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,191676002,narrow,191676002
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,191681006,narrow,191681006
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,191707004,narrow,191707004
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,191740008,narrow,191740008
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,192078003,narrow,192078003
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,192348001,narrow,192348001
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,192366006,narrow,192366006
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,192367002,narrow,192367002
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,192368007,narrow,192368007
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,192369004,narrow,192369004
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,192370003,narrow,192370003
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,192371004,narrow,192371004
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,192372006,narrow,192372006
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,192374007,narrow,192374007
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,192376009,narrow,192376009
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,192377000,narrow,192377000
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,192378005,narrow,192378005
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,192379002,narrow,192379002
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,192381000,narrow,192381000
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,192382007,narrow,192382007
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,192384008,narrow,192384008
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,192386005,narrow,192386005
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,192391006,narrow,192391006
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,192402009,narrow,192402009
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,192475007,narrow,192475007
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,192605002,narrow,192605002
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,21061000119107,narrow,21061000119107
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,231498003,narrow,231498003
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,231500002,narrow,231500002
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,231504006,narrow,231504006
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,231542000,narrow,231542000
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,247803002,narrow,247803002
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,268620009,narrow,268620009
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,268621008,narrow,268621008
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,268702009,narrow,268702009
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,268704005,narrow,268704005
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,268705006,narrow,268705006
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,268706007,narrow,268706007
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,268707003,narrow,268707003
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,268708008,narrow,268708008
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,268709000,narrow,268709000
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,268710005,narrow,268710005
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,268713007,narrow,268713007
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,268750008,narrow,268750008
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,268753005,narrow,268753005
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,268756002,narrow,268756002
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,277538003,narrow,277538003
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,28475009,narrow,28475009
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,300706003,narrow,300706003
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,307537002,narrow,307537002
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,310465006,narrow,310465006
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,310497006,narrow,310497006
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,33135002,narrow,33135002
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,35489007,narrow,35489007
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,36474008,narrow,36474008
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,36923009,narrow,36923009
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,41006004,narrow,41006004
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,430852001,narrow,430852001
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,442057004,narrow,442057004
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,46206005,narrow,46206005
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,58703003,narrow,58703003
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,66344007,narrow,66344007
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,68019004,narrow,68019004
Depression,Ment_DEPRESSION_COV,SNOMEDCT_US,74421008,narrow,74421008
